description_exacte,nb_occurrences,marchand_normalise,categorie_principale,sous_categorie
Achat / PHARMAPRIX #1921,96,Pharmaprix,Santé & Soins,Pharmacie
Achat préautorisé / COSTCO ESSENCE W503,81,Costco Essence,Transport & Auto,Carburant
Paiement / IND ALL EPARGNE,56,Industrielle Alliance (Épargne),Épargne & Finances,Épargne & Finances
CHEFSPLATE Toronto ON,55,Chefs Plate,Alimentation,Prêt-à-cuisiner
Achat / COUCHETARD #556,47,Couche-Tard / Dépanneur,Alimentation,Dépanneur
Achat préautorisé / COSTCO ESSENCE W1186,45,Costco Essence,Transport & Auto,Carburant
PAYPAL *UBER 4029357733 ON,38,Uber (Course),Transport & Auto,Déplacement / VTC
Achat / MARCHE ST DAVID,35,Marché St-David,Alimentation,Supermarché & Épicerie
Achat / IGA FAMILLE LAFLAMME,34,IGA,Alimentation,Supermarché & Épicerie
COSTCO ESSENCE W1186 LEVIS QC,34,Costco Essence,Transport & Auto,Carburant
ADVE QUEBEC QC,33,ADVE (Cafétéria ULaval),Restauration,Cafétéria
Achat / IGA #8034,29,IGA,Alimentation,Supermarché & Épicerie
CHARTWELLS-LEPHARE-41748 SAINTE-BRIGITQC,28,Cafétéria / Campus,Restauration,Cafétéria
Achat / WALMART STORE #,27,Walmart,Magasinage & Loisirs,Grande Surface
PIZZA SALVATORE BEAUPORT QUEBEC QC,26,Pizza Salvatore,Restauration,Restaurant
ES CAFE LEVIS LEVIS QC,24,ES Café,Restauration,Café & Dessert
Frais / WORLD GYM BEAUPORT,24,World Gym,Santé & Soins,Gym & Fitness
Achat / IGA VIEUX BEAUPORT,23,IGA,Alimentation,Supermarché & Épicerie
Achat / MAXI LEVIS GUILLAUME-C,23,Maxi,Alimentation,Supermarché & Épicerie
Achat / MCDONALD'S #4465,23,McDonald's,Restauration,Fast-Food
Achat / STARBUCKS COFFEE #1745,23,Starbucks,Restauration,Café & Dessert
Assurance / IND ALL ASS VIE,23,Industrielle Alliance (Assurance),Épargne & Finances,Épargne & Finances
Achat / LEVIS PHARMA,21,Pharmaprix,Santé & Soins,Pharmacie
Achat / MARCHE ST DAVID 2998,21,Marché St-David,Alimentation,Supermarché & Épicerie
Achat / WALMART STORE #1212,20,Walmart,Magasinage & Loisirs,Grande Surface
Achat / WALMART STORE #3646,20,Walmart,Magasinage & Loisirs,Grande Surface
MYSA SUSHI QUEBEC QC,20,Mysa Sushi,Restauration,Restaurant
STARBUCKS 04082 QUEBEC QC,20,Starbucks,Restauration,Café & Dessert
Achat / PHARMAPRIX 1921,19,Pharmaprix,Santé & Soins,Pharmacie
LA SOCIETE DES TRAVERS LEVIS QC,19,Transport en commun (RTC/Avélo/Traverse),Transport & Auto,Transport en commun
Électricité / HYDRO-QUEBEC,19,Hydro-Québec,Logement & Factures,Électricité
Achat / COSTCO WHOLESALE W503,17,Costco Wholesale,Alimentation,Supermarché & Épicerie
Achat / MARCHE LEVIS,17,Épicerie / Marché Local,Alimentation,Supermarché & Épicerie
Achat préautorisé / COSTCO ESSENCE W516,17,Costco Essence,Transport & Auto,Carburant
GOOGLE *Snapchat g.co/helppay#NS,17,Abonnements Numériques,Magasinage & Loisirs,Électronique & Numérique
PAYPAL *DOORDASH TOPLA 4029357733 BC,17,DoorDash,Restauration,Livraison
Achat / DOLLARAMA # 82,16,Dollarama,Magasinage & Loisirs,Grande Surface
Achat / TOPLA| PYRAMIDE,16,Topla!,Restauration,Fast-Food
FIZZ (TX. INCL.) MONTREAL QC,16,Fizz,Logement & Factures,Téléphonie & Internet
MCDONALD'S #40282 QUEBEC QC,16,McDonald's,Restauration,Fast-Food
Achat / CHU DE QC CAFETERIA CH,15,Cafétéria / Campus,Restauration,Cafétéria
Achat / PIZZA PASSION,15,Pizza Salvatore,Restauration,Restaurant
Achat / STARBUCKS #4082,15,Starbucks,Restauration,Café & Dessert
FAMILIPRIX PL DUBE LEVIS QC,15,Familiprix,Santé & Soins,Pharmacie
PIZZA SALVATORE LEVIS LEVIS QC,15,Pizza Salvatore,Restauration,Restaurant
Achat / ADVE,14,ADVE (Cafétéria ULaval),Restauration,Cafétéria
Achat / CAFETERIA IUSMQ,14,Cafétéria / Campus,Restauration,Cafétéria
Achat / MAXI LEVIS GUIL,14,Maxi,Alimentation,Supermarché & Épicerie
Achat / MCDONALD'S #6628 Q04,14,McDonald's,Restauration,Fast-Food
Achat / TIM HORTONS #6028,14,Tim Hortons,Restauration,Fast-Food
MCDONALD'S #6690 QUEBEC QC,14,McDonald's,Restauration,Fast-Food
PLACE TEVERE QUEBEC QC,14,Place Tevere,Restauration,Restaurant
Prêt personnel / SCOTIA BANK - SPL LOAN PAYMENT,14,Banque Scotia (Prêt),Épargne & Finances,Épargne & Finances
Achat / CAFETERIA CHUL,13,Cafétéria / Campus,Restauration,Cafétéria
MCDONALD'S #40245 Q04 LEVIS QC,13,McDonald's,Restauration,Fast-Food
Paiement / BUILDING_STACK_DD,13,Building Stack (Loyer),Logement & Factures,Loyer
TIM HORTONS #987 LEVIS QC,13,Tim Hortons,Restauration,Fast-Food
Achat / DOLLARAMA #0927,12,Dollarama,Magasinage & Loisirs,Grande Surface
TOPLA! BEAUPORT QUEBEC QC,12,Topla!,Restauration,Fast-Food
Achat / RESTAURANT NORMANDIN,11,Restaurant Normandin,Restauration,Restaurant
Achat / WINNERS 347,11,Vêtements (Winners/JJ/Amnesia),Magasinage & Loisirs,Vêtements & Sport
MARCHE D'ALIMENTATION LEVIS QC,11,Épicerie / Marché Local,Alimentation,Supermarché & Épicerie
SODEXO UNIVERSITÉ LAVAL QUEBEC QC,11,Sodexo (ULaval),Restauration,Cafétéria
TOPLA LEVIS LEVIS QC,11,Topla!,Restauration,Fast-Food
TopLa! Levis-Lauzon LEVIS QC,11,Topla!,Restauration,Fast-Food
Achat / CANADIAN TIRE #,10,Canadian Tire / Canac,Magasinage & Loisirs,Magasinage & Loisirs
Achat / IGA #8490,10,IGA,Alimentation,Supermarché & Épicerie
Achat / MARCHE INNOVATION 265,10,Épicerie / Marché Local,Alimentation,Supermarché & Épicerie
Achat / STARBUCKS COFFEE #1916,10,Starbucks,Restauration,Café & Dessert
HTSP-* PORT DE QUEBEC FREDERICTON NB,10,HotSpot Parking (Port de Québec),Transport & Auto,Stationnement
McDonalds 40245 LEVIS QC,10,McDonald's,Restauration,Fast-Food
McDonalds 4465 Beauport QC,10,McDonald's,Restauration,Fast-Food
RESTAURANT NORMANDIN QUEBEC QC,10,Restaurant Normandin,Restauration,Restaurant
TIM HORTONS #3716 LEVIS QC,10,Tim Hortons,Restauration,Fast-Food
TIM HORTONS #6028 QUEBEC QC,10,Tim Hortons,Restauration,Fast-Food
TOPLA! PYRAMIDE QUEBEC QC,10,Topla!,Restauration,Fast-Food
TOPLA! STE-FOY QUEBEC QC,10,Topla!,Restauration,Fast-Food
Achat / 9088-7050 quebec inc.,9,Subway,Restauration,Fast-Food
Achat / AMNESIA #1713,9,Vêtements (Winners/JJ/Amnesia),Magasinage & Loisirs,Vêtements & Sport
Achat / IGA FAMILLE LAF,9,IGA,Alimentation,Supermarché & Épicerie
Achat / MCDONALD'S #7646 Q04,9,McDonald's,Restauration,Fast-Food
Achat / Subway 19262,9,Subway,Restauration,Fast-Food
FIZZ MONTREAL QC,9,Fizz,Logement & Factures,Téléphonie & Internet
Frais fixes d'utilisation,9,Frais Bancaires (Desjardins),Logement & Factures,Frais Bancaires
LA BELLE ET LA BOEUF QC QUEBEC QC,9,La Belle et La Boeuf,Restauration,Restaurant
MCDONALD'S #40115 Q04 LEVIS QC,9,McDonald's,Restauration,Fast-Food
TIM HORTONS #2298 QUEBEC QC,9,Tim Hortons,Restauration,Fast-Food
ULAVAL / IMPRESSION QUEBEC QC,9,Université Laval / Coop Zone,Éducation,Éducation
Achat / LAKOSH GESTION,8,Salon de Coiffure (Lakosh),Santé & Soins,Coiffure & Soins
Achat / LIBRAIRIE RENAUD BRAY,8,Renaud-Bray,Magasinage & Loisirs,Magasinage & Loisirs
Achat / MACLINIK DR ARSENAULT,8,Clinique Dr Arsenault,Santé & Soins,Médical & Clinique
Achat / MCDONALD'S #6690,8,McDonald's,Restauration,Fast-Food
Assurance-vie EOP,8,Industrielle Alliance (Assurance),Épargne & Finances,Épargne & Finances
CAFETERIA IUSMQ QUEBEC QC,8,Cafétéria / Campus,Restauration,Cafétéria
COMMUNAUTO MONTREAL QC,8,Communauto,Transport & Auto,Déplacement / VTC
L'OEUFRIER BEAUPORT QUEBEC QC,8,L'Oeufrier,Restauration,Restaurant
MCDONALD'S #4465 QUEBEC QC,8,McDonald's,Restauration,Fast-Food
PAYPAL *PLAYSTATION 4029357733 ON,8,Jeux Vidéo (PlayStation/Steam),Magasinage & Loisirs,Électronique & Numérique
Paiement internet de / FARGY/Elee,8,Virement Tiers,Autre / Non Classé,Autre / Non Classé
STARBUCKS COFFEE #1745 QUEBEC QC,8,Starbucks,Restauration,Café & Dessert
VALENTINE QUÉBEC PLACE QUEBEC QC,8,Valentine,Restauration,Fast-Food
AU PETIT CHALET MAGUIRE QUEBEC QC,7,Au Petit Chalet,Restauration,Restaurant
Achat / AMNESIA #1702,7,Vêtements (Winners/JJ/Amnesia),Magasinage & Loisirs,Vêtements & Sport
